id,type
3,Ghoul
6,Ghoul
9,Ghoul
10,Ghoul
13,Ghoul
14,Ghoul
15,Ghoul
16,Ghost
17,Ghost
18,Ghost
20,Ghoul
21,Ghost
24,Ghost
26,Ghost
33,Ghoul
38,Ghoul
40,Ghost
41,Ghost
42,Ghoul
43,Ghost
44,Ghost
46,Ghoul
48,Ghost
49,Ghoul
50,Ghost
51,Ghost
52,Goblin
53,Goblin
55,Ghost
57,Ghost
59,Ghoul
60,Ghoul
61,Ghoul
63,Ghoul
64,Ghost
65,Ghost
66,Ghoul
67,Ghoul
68,Ghoul
74,Ghoul
76,Ghost
77,Ghoul
78,Ghoul
81,Ghoul
83,Ghost
87,Ghoul
92,Ghoul
97,Ghost
98,Ghoul
99,Ghost
100,Ghost
101,Ghost
102,Ghoul
104,Ghost
105,Ghoul
106,Ghost
108,Ghoul
110,Goblin
112,Ghoul
114,Ghoul
116,Goblin
117,Ghost
120,Ghost
121,Ghoul
122,Goblin
123,Goblin
124,Ghoul
126,Ghost
127,Ghoul
132,Ghoul
134,Ghost
135,Goblin
136,Ghoul
137,Ghost
138,Ghost
139,Ghoul
140,Ghost
144,Ghost
145,Ghost
146,Ghoul
147,Goblin
148,Ghoul
149,Ghoul
150,Ghost
151,Ghoul
152,Ghost
153,Ghoul
154,Ghoul
156,Ghost
158,Ghoul
160,Ghoul
164,Ghoul
166,Goblin
167,Goblin
169,Ghost
171,Ghost
173,Ghoul
178,Ghoul
179,Ghost
181,Ghost
182,Ghoul
183,Ghost
184,Ghost
187,Ghoul
188,Ghoul
190,Ghost
191,Ghost
196,Ghost
198,Ghost
200,Ghoul
201,Ghoul
202,Ghost
203,Ghoul
207,Ghoul
209,Ghoul
210,Ghost
211,Ghost
212,Ghoul
213,Ghost
214,Ghost
217,Ghost
220,Ghoul
221,Goblin
223,Ghoul
225,Ghoul
228,Ghost
231,Ghost
232,Ghoul
234,Ghost
235,Goblin
236,Ghoul
238,Ghoul
239,Ghost
240,Ghost
241,Ghoul
242,Ghoul
243,Ghoul
244,Ghost
245,Ghost
246,Ghost
248,Ghost
249,Ghost
250,Ghoul
251,Ghoul
252,Ghost
253,Ghoul
254,Ghoul
255,Ghoul
256,Ghoul
257,Ghoul
259,Ghoul
260,Goblin
267,Ghoul
269,Ghoul
270,Ghoul
271,Ghost
273,Ghoul
274,Ghoul
275,Ghost
276,Ghoul
277,Ghost
278,Ghoul
279,Ghoul
280,Ghoul
281,Ghoul
284,Ghoul
288,Ghost
289,Ghoul
290,Ghoul
292,Ghoul
295,Ghoul
297,Ghoul
298,Ghoul
303,Ghoul
304,Ghoul
308,Ghost
309,Ghoul
310,Ghost
311,Ghoul
312,Ghoul
314,Ghoul
316,Goblin
317,Goblin
318,Ghost
319,Ghoul
320,Ghost
322,Ghost
326,Ghoul
328,Ghoul
330,Ghoul
331,Goblin
332,Ghoul
334,Ghost
335,Goblin
337,Ghoul
341,Ghoul
344,Ghoul
345,Ghost
347,Ghost
348,Ghoul
349,Ghoul
350,Ghoul
352,Ghost
353,Ghoul
354,Ghoul
356,Ghoul
357,Ghost
360,Ghoul
361,Ghoul
363,Ghoul
364,Ghoul
365,Ghoul
370,Ghost
371,Ghoul
372,Ghoul
373,Ghost
374,Ghoul
376,Goblin
377,Ghoul
378,Ghoul
379,Ghost
380,Ghost
381,Ghoul
382,Ghost
383,Ghoul
384,Ghoul
386,Ghost
388,Ghoul
391,Ghost
392,Goblin
395,Ghoul
396,Ghoul
398,Ghoul
400,Ghoul
402,Goblin
403,Ghost
405,Ghoul
406,Ghoul
407,Ghost
408,Ghost
411,Ghoul
413,Ghoul
414,Ghost
415,Goblin
417,Ghoul
418,Ghoul
420,Ghoul
423,Ghost
424,Ghoul
425,Goblin
426,Ghoul
430,Ghoul
431,Goblin
432,Ghoul
433,Ghoul
436,Ghoul
437,Ghost
438,Ghoul
439,Ghoul
440,Ghost
441,Ghost
442,Ghost
443,Ghost
444,Goblin
445,Ghost
446,Ghoul
449,Ghost
451,Ghost
452,Ghoul
453,Ghost
455,Goblin
456,Ghoul
457,Ghost
459,Goblin
460,Ghoul
461,Ghost
463,Ghost
468,Ghost
469,Goblin
471,Ghost
473,Ghost
474,Ghoul
475,Ghoul
477,Ghost
478,Ghoul
479,Goblin
480,Ghoul
483,Goblin
484,Ghoul
485,Ghoul
486,Ghost
488,Ghoul
489,Ghoul
490,Ghost
491,Goblin
493,Ghoul
496,Ghoul
498,Ghost
499,Ghost
500,Ghoul
503,Ghost
504,Ghost
505,Ghost
508,Ghoul
512,Goblin
513,Ghost
516,Ghost
517,Goblin
519,Ghoul
521,Ghost
522,Ghoul
524,Ghoul
525,Ghost
526,Ghost
527,Ghoul
529,Ghoul
530,Ghoul
531,Ghost
532,Ghost
533,Ghost
535,Ghost
537,Ghoul
538,Ghoul
539,Ghoul
541,Ghost
543,Ghost
544,Ghost
546,Goblin
548,Ghoul
550,Ghoul
551,Ghoul
554,Ghoul
555,Ghoul
560,Ghoul
562,Ghost
563,Ghost
566,Ghoul
567,Ghost
568,Ghost
569,Ghoul
571,Ghoul
572,Ghoul
573,Ghost
576,Goblin
577,Ghost
578,Ghost
587,Ghoul
588,Ghost
591,Ghoul
592,Goblin
595,Ghoul
596,Ghost
597,Ghost
599,Ghoul
602,Ghoul
603,Goblin
605,Ghoul
606,Ghost
611,Goblin
612,Ghost
613,Ghost
615,Ghost
618,Ghoul
619,Ghost
620,Ghoul
622,Ghost
623,Ghost
624,Ghoul
626,Ghoul
628,Ghoul
629,Ghoul
633,Ghoul
634,Goblin
635,Ghost
636,Ghost
638,Ghoul
639,Ghost
640,Ghost
642,Ghost
643,Ghoul
644,Ghoul
645,Goblin
646,Ghoul
648,Ghost
649,Ghost
650,Ghoul
652,Ghost
655,Ghoul
656,Ghoul
657,Ghost
658,Ghost
659,Ghost
660,Ghoul
665,Ghost
666,Ghost
668,Ghost
670,Ghoul
671,Ghoul
672,Ghost
673,Goblin
675,Goblin
681,Ghost
683,Goblin
687,Ghost
689,Goblin
691,Goblin
692,Ghoul
694,Ghost
697,Ghost
702,Ghoul
703,Ghoul
704,Ghoul
706,Ghoul
707,Ghost
710,Ghoul
711,Ghoul
712,Goblin
713,Goblin
717,Ghost
718,Ghost
720,Ghoul
723,Ghoul
724,Ghoul
725,Ghoul
726,Ghoul
730,Ghost
735,Ghoul
738,Ghoul
740,Ghoul
742,Ghoul
744,Goblin
748,Ghoul
749,Ghoul
752,Ghoul
755,Ghost
757,Goblin
758,Ghoul
759,Ghoul
760,Ghost
762,Ghoul
763,Ghoul
764,Ghost
765,Ghoul
767,Goblin
768,Ghost
769,Ghost
770,Ghost
771,Goblin
773,Goblin
774,Ghoul
776,Ghost
778,Ghost
780,Goblin
781,Ghost
782,Ghoul
783,Ghost
784,Ghost
787,Ghoul
788,Ghoul
789,Goblin
790,Ghost
791,Ghoul
794,Ghoul
795,Ghoul
796,Ghoul
798,Ghost
799,Ghoul
800,Ghost
803,Ghoul
805,Ghost
806,Ghost
807,Ghoul
808,Ghost
810,Goblin
811,Ghost
815,Goblin
816,Ghost
818,Ghost
821,Goblin
822,Ghoul
823,Ghost
824,Goblin
825,Ghost
826,Ghost
828,Ghoul
830,Ghoul
832,Ghost
833,Goblin
834,Ghoul
835,Ghoul
838,Ghost
842,Goblin
844,Ghoul
848,Goblin
850,Ghost
852,Ghoul
853,Ghost
854,Ghoul
856,Goblin
857,Ghost
859,Ghost
860,Ghoul
862,Ghoul
863,Ghost
865,Ghoul
866,Ghost
868,Ghoul
869,Ghost
870,Ghost
871,Ghost
872,Ghost
875,Ghoul
876,Ghoul
879,Ghoul
880,Ghost
881,Ghoul
882,Ghost
883,Ghoul
884,Ghost
885,Ghoul
887,Ghost
888,Ghoul
891,Goblin
892,Ghoul
893,Ghost
894,Ghost
895,Ghoul
898,Ghost
899,Ghoul
